127.0.0.1 - - [28/Oct/2014:14:32:31 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:32:32 +0100] "GET /room4you/ HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:32:40 +0100] "GET /room4you/message/5.html HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:33:01 +0100] "GET /room4you/ads.html HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:33:04 +0100] "GET /room4you/ads/5.html HTTP/1.1" 200 5705
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:33:05 +0100] "GET /room4you/message/5.html HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:39:55 +0100] "GET /room4you/ads.html HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:39:58 +0100] "GET /room4you/login.html HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:40:02 +0100] "POST /room4you/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:40:02 +0100] "GET /room4you/ HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:40:04 +0100] "GET /room4you/ads.html HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:40:09 +0100] "GET /room4you/account.html HTTP/1.1" 200 11516
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:32 +0100] "POST /room4you/account.html HTTP/1.1" 302 -
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:32 +0100] "GET /room4you/account.html HTTP/1.1" 200 11784
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:46 +0100] "GET /room4you/ad/remove/7.html HTTP/1.1" 302 -
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:46 +0100] "GET /room4you/account.html HTTP/1.1" 200 11516
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:50 +0100] "GET /room4you/ HTTP/1.1" 200 2312
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:51 +0100] "GET /room4you/ads.html HTTP/1.1" 200 2545
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:55 +0100] "GET /room4you/ads/5.html HTTP/1.1" 200 5863
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:40:58 +0100] "GET /room4you/message/5.html HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:42:41 +0100] "GET /room4you/message/5.html HTTP/1.1" 500 30767
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:44:43 +0100] "GET /room4you/message/5.html HTTP/1.1" 500 30767
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:46:18 +0100] "GET /room4you/message/5.html HTTP/1.1" 500 31303
fe80:0:0:0:0:0:0:1%1 - - [28/Oct/2014:14:48:55 +0100] "GET /room4you/message/5.html HTTP/1.1" 500 31303
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:50:56 +0100] "GET /room4you/message/5.html HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [28/Oct/2014:14:51:12 +0100] "POST /room4you/message/5.html HTTP/1.1" 200 3184
